ticker,n_mu,x,sortino
BTC-USD,3,0.5,1.197471761600748
BTC-USD,3,0.75,1.241516925853713
BTC-USD,3,1.0,1.2418300424854567
BTC-USD,5,0.0,1.0914324691361876
BTC-USD,5,0.25,1.1951787748937723
BTC-USD,5,0.5,1.167985338411903
BTC-USD,5,0.75,1.2183996162969022
BTC-USD,5,1.0,1.2418300424854567
BTC-USD,8,0.0,1.0521987340787788
BTC-USD,8,0.25,1.1721478748333205
BTC-USD,8,0.5,1.1325464692660108
BTC-USD,8,0.75,1.1717139319213556
BTC-USD,8,1.0,1.2418300424854567
BTC-USD,12,0.0,0.9496603034979674
BTC-USD,12,0.25,1.2046342458574764
BTC-USD,12,0.5,1.103474874316916
BTC-USD,12,0.75,1.1528073624676882
BTC-USD,12,1.0,1.2418300424854567
BTC-USD,18,0.0,0.8522108356117037
BTC-USD,18,0.25,1.0837353090530961
BTC-USD,18,0.5,1.0863354170189206
BTC-USD,18,0.75,1.152672193666981
BTC-USD,18,1.0,1.2418300424854567
BTC-USD,25,0.0,0.8752791664536373
BTC-USD,25,0.25,1.1080603700849374
BTC-USD,25,0.5,1.019869287042276
BTC-USD,25,0.75,1.08316491098707
BTC-USD,25,1.0,1.2418300424854567
BTC-USD,35,0.0,0.8267385743377732
BTC-USD,35,0.25,1.0712564832587341
BTC-USD,35,0.5,0.9890857474339546
BTC-USD,35,0.75,1.11052636469627
BTC-USD,35,1.0,1.2418300424854567
BTC-USD,50,0.0,0.6556054010847355
BTC-USD,50,0.25,0.9141489026986176
BTC-USD,50,0.5,0.9919111984589781
BTC-USD,50,0.75,1.0993259301683107
BTC-USD,50,1.0,1.2418300424854567
ETH-USD,1,0.0,1.291084183449547
ETH-USD,1,0.25,1.2637710115258187
ETH-USD,1,0.5,1.2390275889734734
ETH-USD,1,0.75,1.2015075663483208
ETH-USD,1,1.0,1.2049862726710279
ETH-USD,3,0.0,1.2499100755172863
ETH-USD,3,0.25,1.2451470533834548
ETH-USD,3,0.5,1.2467411929190668
ETH-USD,3,0.75,1.2389067059296537
ETH-USD,3,1.0,1.2049862726710279
ETH-USD,5,0.0,1.1651209561812472
ETH-USD,5,0.25,1.1445313199913816
ETH-USD,5,0.5,1.1742425340475877
ETH-USD,5,0.75,1.2033110266044502
ETH-USD,5,1.0,1.2049862726710279
ETH-USD,8,0.0,1.049647582974342
ETH-USD,8,0.25,1.1108629114622672
ETH-USD,8,0.5,1.1183534105002606
ETH-USD,8,0.75,1.1164759031408023
ETH-USD,8,1.0,1.2049862726710279
ETH-USD,12,0.0,1.0405046814659098
ETH-USD,12,0.25,1.0688800781245915
ETH-USD,12,0.5,1.0675890489699957
ETH-USD,12,0.75,1.0663557630039115
ETH-USD,12,1.0,1.2049862726710279
ETH-USD,18,0.0,0.972868814141636
ETH-USD,18,0.25,1.0442616165357566
ETH-USD,18,0.5,0.7998778320792176
ETH-USD,18,0.75,0.8266255765958578
ETH-USD,18,1.0,1.2049862726710279
ETH-USD,25,0.0,0.9174753789320236
ETH-USD,25,0.25,0.9226917731115716
ETH-USD,25,0.5,0.7702365149294516
ETH-USD,25,0.75,0.8342066062056155
ETH-USD,25,1.0,1.2049862726710279
ETH-USD,35,0.0,0.7840164508884561
ETH-USD,35,0.25,0.5713880895579618
ETH-USD,35,0.5,0.5440992717369592
ETH-USD,35,0.75,0.6286728743561089
ETH-USD,35,1.0,1.2049862726710279
ETH-USD,50,0.0,0.6769127311252628
ETH-USD,50,0.25,0.8334918193609226
ETH-USD,50,0.5,0.8662109230841191
ETH-USD,50,0.75,1.0609227783050754
ETH-USD,50,1.0,1.2049862726710279
GLD,1,0.0,0.918843527864008
GLD,1,0.25,0.9159677957485043
GLD,1,0.5,0.9580336686235267
GLD,1,0.75,0.961577864901867
GLD,1,1.0,0.9324076269804907
GLD,3,0.0,0.863452500482988
GLD,3,0.25,0.8696031635738849
GLD,3,0.5,0.9391076835936921
GLD,3,0.75,0.9340521300800765
GLD,3,1.0,0.9324076269804907
GLD,5,0.0,0.8664380073757991
GLD,5,0.25,0.8415283491365116
GLD,5,0.5,0.8975321715416893
GLD,5,0.75,0.9127279500932701
GLD,5,1.0,0.9324076269804907
GLD,8,0.0,0.7768630465852544
GLD,8,0.25,0.7505455946275154
GLD,8,0.5,0.8416989766102813
GLD,8,0.75,0.8819357484710356
GLD,8,1.0,0.9324076269804907
GLD,12,0.0,0.8046907395183581
GLD,12,0.25,0.7463390615564887
GLD,12,0.5,0.8282648142535011
GLD,12,0.75,0.8287383775824518
GLD,12,1.0,0.9324076269804907
GLD,18,0.0,0.71355929541705
GLD,18,0.25,0.6588153202505518
GLD,18,0.5,0.7863508821825317
