ticker,n_mu,x,sharpe
AAPL,5,0.25,0.7341868797807805
AAPL,5,0.5,0.7621125840573767
AAPL,5,0.75,0.7922539008665811
AAPL,5,1.0,0.8632456772685879
AAPL,8,0.0,0.6879133113272995
AAPL,8,0.25,0.7469536370979305
AAPL,8,0.5,0.7638407530311975
AAPL,8,0.75,0.7959342219649334
AAPL,8,1.0,0.8632456772685879
AAPL,12,0.0,0.6705361557146946
AAPL,12,0.25,0.7370339608027958
AAPL,12,0.5,0.7372398315372038
AAPL,12,0.75,0.7686925871916072
AAPL,12,1.0,0.8632456772685879
AAPL,18,0.0,0.6339361162249099
AAPL,18,0.25,0.6957120573408205
AAPL,18,0.5,0.7384911846757064
AAPL,18,0.75,0.748294499963693
AAPL,18,1.0,0.8632456772685879
AAPL,25,0.0,0.486205458740885
AAPL,25,0.25,0.5378921974338517
AAPL,25,0.5,0.6406788065082204
AAPL,25,0.75,0.7126360965647107
AAPL,25,1.0,0.8632456772685879
AAPL,35,0.0,0.4563166172170028
AAPL,35,0.25,0.483937731081348
AAPL,35,0.5,0.5565949441641335
AAPL,35,0.75,0.6714830348271613
AAPL,35,1.0,0.8632456772685879
AAPL,50,0.0,0.49894135674524565
AAPL,50,0.25,0.5320011267985919
AAPL,50,0.5,0.5984416079448153
AAPL,50,0.75,0.6903044149229413
AAPL,50,1.0,0.8632456772685879
GOOGL,1,0.0,0.6397914053637351
GOOGL,1,0.25,0.6624712192264224
GOOGL,1,0.5,0.6767889725550832
GOOGL,1,0.75,0.6760786494641406
GOOGL,1,1.0,0.6813561536342791
GOOGL,3,0.0,0.6855356563170677
GOOGL,3,0.25,0.7015311358455447
GOOGL,3,0.5,0.6967605246718165
GOOGL,3,0.75,0.682030964435854
GOOGL,3,1.0,0.6813561536342791
GOOGL,5,0.0,0.6451372590297375
GOOGL,5,0.25,0.6837923261016611
GOOGL,5,0.5,0.684353902459375
GOOGL,5,0.75,0.6786155537918833
GOOGL,5,1.0,0.6813561536342791
GOOGL,8,0.0,0.6177885421906052
GOOGL,8,0.25,0.6686951547606262
GOOGL,8,0.5,0.7063378434060525
GOOGL,8,0.75,0.7040654601657229
GOOGL,8,1.0,0.6813561536342791
GOOGL,12,0.0,0.5975784388566673
GOOGL,12,0.25,0.619631539143957
GOOGL,12,0.5,0.6659140572315067
GOOGL,12,0.75,0.68753884335877
GOOGL,12,1.0,0.6813561536342791
GOOGL,18,0.0,0.504005804836899
GOOGL,18,0.25,0.5500714440466022
GOOGL,18,0.5,0.6493891321989684
